id	lan_id	user_id	fuel_word_id	name	context	vote	create	update
1	21	0	37390	ಕುರಿತು	Main menu - which is conveying the copyright and version of the application	0	2014-09-27 10:20:25	2014-09-27 10:20:25
2	21	0	37597	ಜಿನೋಮ್ (ಗ್ನೋಮ್) ಬಗ್ಗೆ	Main Menu - About GNOME	0	2014-09-27 10:20:27	2014-09-27 10:20:27
3	21	0	37598	ನನ್ನ ಬಗ್ಗೆ	Main menu - System – preference – about me. It is giving user information of a system.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
4	21	0	37599	ಮೋಜಿಲ್ಲಾ ಫೈರ್ಫಾಕ್ಸ್ ಬಗ್ಗೆ	About Mozilla Firefox	0	2014-09-27 10:20:27	2014-09-27 10:20:27
5	21	0	37600	ಪಟ್ಟಿಗಳ ಬಗ್ಗೆ	Right click on panel and it is about the panel	0	2014-09-27 10:20:27	2014-09-27 10:20:27
6	21	0	37391	ನಿಲುಕು	Main menu - System – Preference – Accessibility	0	2014-09-27 10:20:25	2014-09-27 10:20:25
7	21	0	37392	ಉಪಕರಣಗಳು	Main menu - which contain text editor, calculator, dictionary like applications	0	2014-09-27 10:20:25	2014-09-27 10:20:25
8	21	0	37393	ಖಾತೆಗಳು	Pidgin - This is your email account in chat application	0	2014-09-27 10:20:25	2014-09-27 10:20:25
9	21	0	37601	ಪುಟಗುರುತನ್ನು ಸೇರಿಸು	Nautilus - Bookmark – Add bookmark. Adding bookmark	0	2014-09-27 10:20:27	2014-09-27 10:20:27
10	21	0	37602	ಗೆಳೆಯರನ್ನು ಸೇರಿಸು	Pidgin - Adding buddies in Chat application	0	2014-09-27 10:20:27	2014-09-27 10:20:27
11	21	0	37603	ಹರಟೆ'-ಸೇರಿಸು	Pidgin – Adding Chat in Chat application	0	2014-09-27 10:20:27	2014-09-27 10:20:27
12	21	0	37604	ಗುಂಪು'-ಸೇರಿಸು	Pidgin – Adding Group in Chat application	0	2014-09-27 10:20:27	2014-09-27 10:20:27
13	21	0	37841	ಕಳುಹಿಸಿದವರ ವಿಳಾಸವನ್ನು ವಿಳಾಸಪುಸ್ತಕಕ್ಕೆ ಸೇರಿಸು	Evolution – Mail – Message - Add Sender to Address Book	0	2014-09-27 10:20:30	2014-09-27 10:20:30
14	21	0	37840	ಸೇರಿಸು ಅಥವಾ ತೆಗೆದುಹಾಕು	Terminal – Terminal – Set character encoding – Add or remove. This is used to adding or removing the Terminal encodings.	0	2014-09-27 10:20:30	2014-09-27 10:20:30
15	21	0	37842	ಪಟ್ಟಿಗೆ ಸೇರಿಸು	Right click on panel and add any items to the panel	0	2014-09-27 10:20:30	2014-09-27 10:20:30
16	21	0	37605	ಸೇರಿಸು/ಸಂಪಾದಿಸು	Pidgin – Account – Add/edit. Add or edit an account.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
17	21	0	37843	ತಂತ್ರಾಂಶವನ್ನು ಸೇರಿಸು/ತೆಗೆದುಹಾಕು	Main menu – System – Administration – Add/Remove Software. Install or uninstall the software in the system.	0	2014-09-27 10:20:30	2014-09-27 10:20:30
18	21	0	37606	ವಿಳಾಸ ಪುಸ್ತಕ	Evolution – Mail – New – Address Book.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
19	21	0	37844	ವಿಳಾಸ ಪುಸ್ತಕದ ಗುಣಗಳು	Evolution – Contact - Actions – Address Book properties. Adding the properties of the Address Book	0	2014-09-27 10:20:30	2014-09-27 10:20:30
20	21	0	37394	ನಿರ್ವಹಣೆ	Main menu – System - Administration. Contains system administration application	0	2014-09-27 10:20:25	2014-09-27 10:20:25
21	21	0	37607	ಸುಧಾರಿತ ಹುಡುಕಾಟ	Evolution – Search – Advanced search. Searching mails in advanced level by setting rules	0	2014-09-27 10:20:27	2014-09-27 10:20:27
22	21	0	37395	ಹೊಂದಿಕೆ	In open office – oowriter – Format – Alignment. It 'll align the selected text to the specific place.	0	2014-09-27 10:20:25	2014-09-27 10:20:25
23	21	0	37845	ಎಲ್ಲ ಸಂದೇಶ ತಲೆಬರಹಗಳು	Right click on panel and you can add any items to the panel	0	2014-09-27 10:20:30	2014-09-27 10:20:30
24	21	0	37396	ನೆಲೆಗೊಳಿಸು	In open office – oowriter – Format – Anchor. Sets the anchoring options for the selected object.	0	2014-09-27 10:20:25	2014-09-27 10:20:25
25	21	0	37608	ಸಂಚಲನ ಚಿತ್ರ	Open office – Ooimpress – Insert – Animated Image. Inserts a animation in the presentation.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
26	21	0	37609	ಯಾವುದೇ ವರ್ಗ	Evolution – Mail – show - Any category.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
27	21	0	37397	ಅನ್ವಯಗಳು	Main menu – To start the application	0	2014-09-27 10:20:25	2014-09-27 10:20:25
28	21	0	37398	ಸೋಸುಕಗಳನ್ನು ಅನ್ವಯಿಸು	Evolution – Mail – Message – Apply filters.	0	2014-09-27 10:20:25	2014-09-27 10:20:25
29	21	0	37610	ಸಂಗ್ರಹ ವ್ಯವಸ್ಥಾಪಕ	Main menu – Accessories – Archive manager. Opens the archive manager.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
30	21	0	37399	ಸ್ಥಳ	In open office – oowriter – Format – Graphics - area. Set the fill options for the selected drawing object.	0	2014-09-27 10:20:25	2014-09-27 10:20:25
31	21	0	37400	ಕ್ರಮ	Open office – oowriter – Format – Arrange. Use the arrange commands to change the stacking order of objects in your document.	0	2014-09-27 10:20:25	2014-09-27 10:20:25
32	21	0	37611	ವಸ್ತುಗಳನ್ನು ಕ್ರಮಗೊಳಿಸು	Nautilus – View – Arrange Items. Arranges files and folder in the selected way.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
33	21	0	37612	ಕಾರ್ಯವನ್ನು ನಿಯೋಜಿಸು	Evolution – Task – Action – Assign task. Assigns a task.	0	2014-09-27 10:20:27	2014-09-27 10:20:27
